"batch code","trace code","key code",url1,url2
AMS0007,DYP9N4DHJ,YPWZJVZ2M,https://seal-trace.com/?t=DYP9N4DHJ,https://seal-trace.com/?t=DYP9N4DHJ&k=YPWZJVZ2M
AMS0007,3UE6SN4ZE,SY5NHDDFL,https://seal-trace.com/?t=3UE6SN4ZE,https://seal-trace.com/?t=3UE6SN4ZE&k=SY5NHDDFL
AMS0007,ZAVSKVLYE,FCM65RYLC,https://seal-trace.com/?t=ZAVSKVLYE,https://seal-trace.com/?t=ZAVSKVLYE&k=FCM65RYLC
AMS0007,T2ERU3R64,TNUKXFMWH,https://seal-trace.com/?t=T2ERU3R64,https://seal-trace.com/?t=T2ERU3R64&k=TNUKXFMWH
AMS0007,2RJHV99NY,Y6ANY7RZ3,https://seal-trace.com/?t=2RJHV99NY,https://seal-trace.com/?t=2RJHV99NY&k=Y6ANY7RZ3
AMS0007,XKYESNZR2,FPTSZJLM5,https://seal-trace.com/?t=XKYESNZR2,https://seal-trace.com/?t=XKYESNZR2&k=FPTSZJLM5
AMS0007,CYXVCJ65S,5DCXCXDHK,https://seal-trace.com/?t=CYXVCJ65S,https://seal-trace.com/?t=CYXVCJ65S&k=5DCXCXDHK
AMS0007,5DMSZJKW5,E2KWY24Y6,https://seal-trace.com/?t=5DMSZJKW5,https://seal-trace.com/?t=5DMSZJKW5&k=E2KWY24Y6
AMS0007,4NRLKEHLD,PDCWVXDR3,https://seal-trace.com/?t=4NRLKEHLD,https://seal-trace.com/?t=4NRLKEHLD&k=PDCWVXDR3
AMS0007,2Z4RVNV4J,JZRYXFCPU,https://seal-trace.com/?t=2Z4RVNV4J,https://seal-trace.com/?t=2Z4RVNV4J&k=JZRYXFCPU
AMS0007,PPXVR4MK9,3WFJDKA7U,https://seal-trace.com/?t=PPXVR4MK9,https://seal-trace.com/?t=PPXVR4MK9&k=3WFJDKA7U
AMS0007,VC9VRLYWE,6HHRWDUCA,https://seal-trace.com/?t=VC9VRLYWE,https://seal-trace.com/?t=VC9VRLYWE&k=6HHRWDUCA
AMS0007,MN4AMCPEH,NJWZJ4DTM,https://seal-trace.com/?t=MN4AMCPEH,https://seal-trace.com/?t=MN4AMCPEH&k=NJWZJ4DTM
